epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.01915859803557396,0.09246645122766495,0.0033595915883779526,0.04592084512114525
1,0.0033249652478843927,0.043866850435733795,0.002387317130342126,0.03674924001097679
2,0.002276840154081583,0.035149428993463516,0.0015254177851602435,0.02677660994231701
3,0.0018356861546635628,0.031066816300153732,0.0014514686772599816,0.025635506957769394
4,0.0016238003736361861,0.028825070708990097,0.0013079142663627863,0.023549562320113182
5,0.0014446030836552382,0.02704750932753086,0.001383562688715756,0.02523791231215
6,0.0014690302778035402,0.027278775349259377,0.0012906829360872507,0.02349645085632801
7,0.0013572926400229335,0.025995226576924324,0.0014104151632636786,0.02569330856204033
8,0.0013054779265075922,0.02539999783039093,0.0013276375830173492,0.02489885687828064
9,0.001257284078747034,0.02485153079032898,0.0012783417478203773,0.023531831800937653
10,0.0012620396446436644,0.02524721436202526,0.0012133981799706817,0.022561104968190193
11,0.0012090048985555768,0.024510899558663368,0.0013088511768728495,0.023808889091014862
12,0.001147144939750433,0.02365550398826599,0.0013144036056473851,0.024257732555270195
13,0.0011190049117431045,0.023515276610851288,0.0012090980308130383,0.0227773729711771
14,0.0011282014893367887,0.023629317060112953,0.0012498589931055903,0.02316739410161972
15,0.0010957613121718168,0.023070037364959717,0.0013057432370260358,0.024877071380615234
16,0.0010908901458606124,0.023276299238204956,0.00122330361045897,0.02306133136153221
17,0.001109153963625431,0.02337861806154251,0.0012028286000713706,0.022803528234362602
18,0.00106619275175035,0.02291927859187126,0.0012972227996215224,0.0241461843252182
19,0.001015999703668058,0.022296277806162834,0.0011462789261713624,0.02185242809355259
20,0.0009967285441234708,0.022069940343499184,0.001246392959728837,0.023172926157712936
